OCC(F)(F)F
O=CCCCC=O
OC1CCCCC1
NCC1CCCN1
[NH3+]C1CCCCC1
CC(=O)CC(=O)[O-]
C=CC([NH3+])C(=O)[O-]
NC1CCOC1=O
C=CC(N)C(=O)O
CC=C(N)C(=O)O
C=C(NC)C(=O)O
NC1(C(=O)O)CC1
N=C(N)NC(=N)N
CC(C)CC(C)N
CCCCB(O)O
FCC(F)(F)F
O=C([O-])CC(=O)[O-]
O=C([O-])CC(=O)[O-]
CC(=O)CC(=O)O
CCC(=O)C(=O)O
NC1CONC1=O
CC(CN)C(=O)[O-]
CCCOC(C)=O
CCCCC(=O)O
CC(C)(C)OC=O
CCC(C)C(=O)O
CC(C)CC(=O)O
C[N+](C)(C)CC=O
NC1=NCCS1
NCCCCCN
CC[Si](C)(C)C
F[Al-](F)(F)F
NC(=O)CC(=O)O
O=C([O-])CCCO
CN(C)CC(=O)O
NCCCC(=O)O
CC(C)(N)C(=O)O
CCNC(=O)OC
CCC(N)C(=O)O
CCOC(=O)NC
CC(C)C(N)CO
O=C(O)CC(=O)O
O=C(O)C(=O)CO
O=C(O)CCCO
C[N+](C)(C)CCO
C[N+](C)(C)CCO
C[N+](C)(C)CCO
C[N+](C)(C)CCO
CCSC(=N)N
NC(CO)C(=O)O
NC(CO)C(=O)O
NC(C[NH3+])C(=O)O
CC(O)C(N)CO
CSCC(=O)[O-]
NCCO[N+](=O)[O-]
C[N+](C)(C)CCF
[Pd]
O=Cc1cccnc1
NCc1ccccc1
[Ag+]
[Ag]
[Ag+]
C=CS(=O)(=O)O
Cc1ccc(O)cc1
Cc1cccc(O)c1
OCc1ccccc1
Nc1ccc(N)cc1
OCC(O)CS
Nc1ccccc1O
OCc1cccnc1
Nc1ccc(O)cc1
Nc1ccncc1N
Oc1ccccc1O
Oc1ccc(O)cc1
Oc1cccc(O)c1
CCS(=O)(=O)O
O=C1CC2CCC1C2
O=C(O)c1ccc[nH]1
NC1=NC(=O)N2CC12
Nc1ccccc1F
NCCc1ccn[nH]1
NCCc1c[nH]cn1
Sc1ccccn1
O=c1cc[nH]c(=O)[nH]1
O=C(O)c1c[nH]cn1
O=c1cc[nH]c(=O)[nH]1
NC(=[NH2+])n1cncn1
CC1CC=CC(=O)O1
O=S(=O)([O-])[S-]
CC(C=O)CC1CC1
[Cd]
CC(Cl)CCl
O=C([O-])C1=[NH+]CCC1
O=CC1CCC(=O)N1
CN1CC(=O)NC1=N
[C-]#[N+]CC(C)(C)OC
[C-]#[N+]CC(C)(C)OC
O=CN1CCCCC1
CC=CC(=O)C(=O)O
O=C1CCNC(=O)N1
NC1CC(=O)NC1=O
O=C1NC=CC(O)N1
NCc1cc(=O)[nH]o1
O=S(O)(O)=S
Cn1cc[nH]c1=S
NCC1CCC1CN
[NH3+]CC1CCCCC1
[In+3]
CC(=O)CCC(=O)[O-]
CC(=O)CCC(=O)[O-]
CC=C(NC)C(=O)O
O=C(O)C1CCCN1
O=C(O)C1CCCN1
Cn1sccc1=O
CCCCC(N)C=O
CCCCCC(C)N
O=[Cr](=O)([O-])[O-]
O=[Cr](=O)([O-])[O-]
O=C(O)C=CC(=O)O
O=C(O)C=CC(=O)O
O=C([O-])CCC(=O)[O-]
O=C([O-])CCC(=O)[O-]
O=C1COC(=O)CO1
CC(=O)CCC(=O)O
CC(C)C(=O)C(=O)O
CCOC(=O)C(C)=O
O=C(O)C1CCCO1
CC(C)CCC(=O)O
NCCCCCCN
